"NORDEN"	"IDHOGAR"	"TMUNI"	"NHOGAR"	"EHOGAR"	"SEXO"	"EDAD"	"NACIONALIDAD"	"ESTUDIANTE"	"REGLADO"	"NOREGLADO"	"NEST"	"NEST2"	"C01"	"C03"	"C04"	"MCL"	"C08"	"C09A"	"C10"	"C11A"	"C12"	"C13A"	"C14"	"C15A"	"C16"	"C17A"	"C18"	"C19A"	"C20"	"C21A"	"C22"	"C23A"	"C24"	"C25A"	"C26"	"C27A"	"C28A"	"C29A"	"C31A"	"C33A"	"C34A"	"DLIB"	"LIB"	"D42"	"D43"	"D44"	"D45"	"D47"	"D48"	"D50"	"D51"	"D53"	"D54"	"D56"	"D57"	"GTT"	"GTS"	"GTSR"	"GTSNR"	"GTB"	"E59"	"E60R1"	"E60R2"	"E60R3"	"E60R4"	"E60R5"	"E60R6"	"E61R1"	"E61R2"	"E61R3"	"E61R4"	"E61R5"	"E61R6"	"E61R7"	"E62R1"	"E62R2"	"E62R3"	"E62R4"	"FACTOR"
"0000017"	"0001"	"4"	" 3"	" 1"	"1"	"055"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2419.343963
"0000022"	"0001"	"4"	" 3"	" 1"	"2"	"039"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2419.343963
"0000038"	"0001"	"4"	" 3"	" 1"	"1"	"013"	"1"	"1"	"1"	"0"	"3"	"04"	"2"	"1"	" "	500	"2"	NA	"2"	NA	"2"	NA	" "	NA	"2"	NA	"1"	60	"2"	NA	"1"	30	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"1"	200	"1"	30	"1"	40	"1"	30	"2"	NA	"2"	NA	"1"	20	910	590	590	NA	320	"1"	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2419.343963
"0000043"	"0002"	"4"	" 3"	" 1"	"1"	"048"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2453.363928
"0000056"	"0002"	"4"	" 3"	" 1"	"2"	"046"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2453.363928
"0000069"	"0002"	"4"	" 3"	" 1"	"2"	"020"	"1"	"1"	"0"	"1"	"5"	"11"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	900	NA	"2"	NA	"2"	NA	" "	NA	"1"	20	"2"	NA	"2"	NA	"2"	NA	920	900	NA	900	20	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2453.363928
"0000075"	"0003"	"4"	" 4"	" 1"	"2"	"038"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2777.1123
"0000081"	"0003"	"4"	" 4"	" 1"	"1"	"038"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2777.1123
"0000094"	"0003"	"4"	" 4"	" 1"	"1"	"003"	"1"	"1"	"1"	"0"	"1"	"02"	"2"	"1"	" "	25	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"1"	600	"2"	NA	"1"	15	"1"	25	"2"	NA	NA	NA	NA	NA	NA	"2"	NA	"2"	NA	"1"	200	"2"	NA	"2"	NA	"2"	NA	"2"	NA	865	665	665	NA	200	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2777.1123
"0000108"	"0003"	"4"	" 4"	" 1"	"1"	"000"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2777.1123
"0000115"	"0004"	"4"	" 4"	" 2"	"1"	"022"	"3"	"1"	"1"	"0"	"3"	"07"	"1"	"1"	" "	40	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	40	NA	NA	NA	NA	"2"	NA	"2"	NA	" "	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	40	40	40	NA	NA	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2929.038358
"0000120"	"0004"	"4"	" 4"	" 2"	"1"	"017"	"3"	"1"	"1"	"1"	"3"	"05"	"1"	"1"	" "	0	"2"	NA	"2"	NA	"2"	NA	" "	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	NA	340	NA	NA	NA	"1"	90	"1"	20	"2"	NA	"1"	40	"2"	NA	"2"	NA	"2"	NA	490	340	0	340	150	"1"	" "	" "	" "	" "	" "	" "	"1"	" "	" "	" "	" "	"1"	" "	" "	" "	" "	" "	2929.038358
"0000136"	"0004"	"4"	" 4"	" 2"	"2"	"053"	"3"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2929.038358
"0000141"	"0004"	"4"	" 4"	" 2"	"1"	"056"	"3"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2929.038358
"0000154"	"0005"	"4"	" 5"	" 4"	"2"	"042"	"1"	"1"	"0"	"1"	"5"	"11"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	1638	NA	NA	530	"2"	NA	"1"	30	" "	NA	"1"	10	"2"	NA	"2"	NA	"2"	NA	2208	2168	NA	2168	40	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2222.159373
"0000167"	"0005"	"4"	" 5"	" 4"	"1"	"045"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2222.159373
"0000173"	"0005"	"4"	" 5"	" 4"	"1"	"008"	"1"	"1"	"1"	"0"	"2"	"03"	"1"	"1"	" "	0	"1"	0	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"1"	50	"1"	25	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"1"	58	"2"	NA	"2"	NA	"1"	26	"2"	NA	"2"	NA	"2"	NA	159	75	75	NA	84	"1"	" "	" "	" "	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2222.159373
"0000189"	"0005"	"4"	" 5"	" 4"	"1"	"005"	"1"	"1"	"1"	"0"	"1"	"02"	"1"	"1"	" "	0	"1"	360	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"1"	42	"1"	20	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"1"	12	"2"	NA	"2"	NA	"1"	60	"2"	NA	"2"	NA	"2"	NA	494	422	422	NA	72	"1"	" "	" "	" "	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2222.159373
"0000192"	"0005"	"4"	" 5"	" 4"	"2"	"005"	"1"	"1"	"1"	"0"	"1"	"02"	"1"	"1"	" "	0	"1"	360	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"1"	12	"2"	NA	"2"	NA	"1"	60	"2"	NA	"2"	NA	"2"	NA	432	360	360	NA	72	"1"	" "	" "	" "	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2222.159373
"0046112"	"0006"	"4"	" 4"	" 2"	"2"	"037"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2899.138712
"0046127"	"0006"	"4"	" 4"	" 2"	"1"	"047"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2899.138712
"0046133"	"0006"	"4"	" 4"	" 2"	"1"	"016"	"1"	"1"	"1"	"0"	"3"	"06"	"1"	"1"	" "	50	"2"	NA	"2"	NA	"2"	NA	" "	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"1"	65	"2"	NA	"2"	NA	"1"	50	"2"	NA	"2"	NA	"2"	NA	165	50	50	NA	115	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2899.138712
"0046148"	"0006"	"4"	" 4"	" 2"	"1"	"014"	"1"	"1"	"1"	"0"	"3"	"04"	"2"	"1"	" "	880	"2"	NA	"2"	NA	"2"	NA	" "	NA	"1"	0	"2"	NA	"2"	NA	"1"	15	"1"	20	"2"	NA	NA	NA	NA	NA	NA	"1"	324	"2"	NA	"1"	60	"1"	100	"2"	NA	"2"	NA	"2"	NA	1399	915	915	NA	484	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2899.138712
"0046151"	"0007"	"4"	" 4"	" 4"	"1"	"042"	"1"	"1"	"1"	"0"	"4"	"09"	"3"	"1"	" "	1400	"2"	NA	" "	NA	"2"	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"2"	NA	"2"	NA	" "	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	1400	1400	1400	NA	NA	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	1937.650821
"0046164"	"0007"	"4"	" 4"	" 4"	"2"	"045"	"1"	"1"	"1"	"0"	"3"	"07"	"1"	"1"	" "	50	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	50	NA	NA	NA	NA	"1"	20	"2"	NA	" "	NA	"1"	75	"2"	NA	"2"	NA	"2"	NA	145	50	50	NA	95	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"1"	"1"	" "	" "	" "	" "	1937.650821
"0046170"	"0007"	"4"	" 4"	" 4"	"2"	"008"	"1"	"1"	"1"	"0"	"2"	"03"	"1"	"1"	" "	0	"1"	120	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"1"	144	"2"	NA	"1"	50	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"1"	30	"2"	NA	"2"	NA	"1"	20	"2"	NA	"2"	NA	"2"	NA	364	314	314	NA	50	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	1937.650821
"0046186"	"0007"	"4"	" 4"	" 4"	"2"	"006"	"1"	"1"	"1"	"0"	"2"	"03"	"1"	"1"	" "	0	"1"	120	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"1"	144	"2"	NA	"1"	50	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"1"	27	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	341	314	314	NA	27	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	1937.650821
"0046199"	"0008"	"4"	" 4"	" 1"	"2"	"060"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2951.057362
"0046203"	"0008"	"4"	" 4"	" 1"	"1"	"058"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2951.057362
"0046210"	"0008"	"4"	" 4"	" 1"	"1"	"030"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2951.057362
"0046225"	"0008"	"4"	" 4"	" 1"	"1"	"025"	"1"	"1"	"0"	"1"	"5"	"11"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	720	NA	NA	NA	"1"	100	"1"	15	" "	NA	"1"	20	"2"	NA	"2"	NA	"2"	NA	855	720	NA	720	135	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2951.057362
"0046246"	"0009"	"4"	" 3"	" 1"	"1"	"027"	"1"	"1"	"0"	"1"	"5"	"11"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	480	NA	NA	NA	"2"	NA	"2"	NA	" "	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	480	480	NA	480	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2913.583319
"0046259"	"0009"	"4"	" 3"	" 1"	"2"	"035"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2913.583319
"0046262"	"0009"	"4"	" 3"	" 1"	"2"	"025"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2913.583319
"0046278"	"0010"	"4"	" 4"	" 3"	"2"	"049"	"1"	"1"	"1"	"0"	"2"	"03"	"1"	"1"	" "	405	"2"	NA	" "	NA	"2"	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"2"	NA	"2"	NA	" "	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	405	405	405	NA	NA	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	1930.238411
"0046284"	"0010"	"4"	" 4"	" 3"	"1"	"048"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	1930.238411
"0046297"	"0010"	"4"	" 4"	" 3"	"2"	"010"	"1"	"1"	"1"	"0"	"2"	"03"	"1"	"1"	" "	0	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"1"	70	"1"	15	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"1"	30	"2"	NA	"2"	NA	"1"	45	"2"	NA	"2"	NA	"2"	NA	160	85	85	NA	75	"1"	" "	" "	" "	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	1930.238411
"0046301"	"0010"	"4"	" 4"	" 3"	"1"	"006"	"1"	"1"	"1"	"0"	"2"	"03"	"1"	"1"	" "	0	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"1"	15	"2"	NA	"2"	NA	NA	NA	NA	NA	NA	"2"	NA	"2"	NA	"2"	NA	"1"	45	"2"	NA	"2"	NA	"2"	NA	60	15	15	NA	45	"1"	" "	" "	" "	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	1930.238411
"0046318"	"0011"	"4"	" 4"	" 2"	"1"	"048"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	3122.422977
"0046323"	"0011"	"4"	" 4"	" 2"	"2"	"042"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	3122.422977
"0046339"	"0011"	"4"	" 4"	" 2"	"2"	"018"	"1"	"1"	"1"	"0"	"4"	"09"	"2"	"1"	" "	1760	"2"	NA	" "	NA	"2"	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	"1"	80	"2"	NA	NA	NA	NA	NA	NA	"1"	350	"1"	100	" "	NA	"1"	50	"2"	NA	"2"	NA	"2"	NA	2340	1840	1840	NA	500	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"1"	3122.422977
"0046344"	"0011"	"4"	" 4"	" 2"	"1"	"006"	"1"	"1"	"1"	"1"	"1"	"02"	"2"	"1"	" "	640	"1"	1080	"2"	NA	"2"	NA	"2"	NA	"1"	174	"1"	90	"1"	60	"1"	12	"1"	16	"2"	NA	NA	NA	300	NA	NA	"1"	80	"1"	80	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	2532	2372	2072	300	160	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	3122.422977
"0000206"	"0012"	"4"	" 4"	" 2"	"1"	"047"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	1833.186064
"0000213"	"0012"	"4"	" 4"	" 2"	"2"	"045"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	1833.186064
"0000228"	"0012"	"4"	" 4"	" 2"	"1"	"006"	"1"	"1"	"1"	"0"	"2"	"03"	"2"	"1"	" "	460	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"1"	72	"1"	20	"1"	10	"1"	20	"2"	NA	NA	NA	NA	NA	NA	"1"	300	"1"	50	"1"	220	"1"	100	"1"	400	"2"	NA	"2"	NA	1652	582	582	NA	1070	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	1833.186064
"0000234"	"0012"	"4"	" 4"	" 2"	"1"	"003"	"1"	"1"	"1"	"0"	"1"	"01"	"2"	"1"	" "	450	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"1"	25	"1"	10	"1"	18	"2"	NA	NA	NA	NA	NA	NA	"2"	NA	"1"	45	"1"	100	"2"	NA	"2"	NA	"2"	NA	"2"	NA	648	503	503	NA	145	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	1833.186064
"0098631"	"0013"	"4"	" 4"	" 2"	"1"	"046"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	4372.926354
"0098646"	"0013"	"4"	" 4"	" 2"	"2"	"042"	"1"	"0"	"0"	"0"	"0"	"00"	" "	" "	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	" "	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	4372.926354
"0098659"	"0013"	"4"	" 4"	" 2"	"2"	"010"	"1"	"1"	"1"	"0"	"2"	"03"	"2"	"1"	" "	0	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"1"	25	"1"	15	"1"	800	"2"	NA	NA	NA	NA	NA	NA	"1"	199	"1"	13	"1"	50	"1"	50	"2"	NA	"2"	NA	"1"	50	1202	840	840	NA	362	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	4372.926354
"0098662"	"0013"	"4"	" 4"	" 2"	"2"	"007"	"1"	"1"	"1"	"1"	"2"	"03"	"2"	"1"	" "	0	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"2"	NA	"1"	25	"2"	NA	"1"	800	"2"	NA	NA	408	NA	NA	NA	"1"	217	"1"	50	"1"	75	"1"	50	"1"	200	"1"	170	"2"	NA	1995	1233	825	408	762	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	4372.926354
